"athlete","time","lap_nr","ind"
"df_time_campenaerts",16.084,219,216
"df_time_campenaerts",15.925,220,217
"df_time_ganna",15.906,65,1
"df_time_ganna",16.029,66,2
"df_time_ganna",16.07,67,3
"df_time_ganna",16.061999999999998,68,4
"df_time_ganna",15.906,69,5
"df_time_ganna",15.96,70,6
"df_time_ganna",16.034000000000002,71,7
"df_time_ganna",15.89,72,8
"df_time_ganna",15.965000000000002,73,9
"df_time_ganna",15.93,74,10
"df_time_ganna",15.899000000000001,75,11
"df_time_ganna",15.766,76,12
"df_time_ganna",15.929,77,13
"df_time_ganna",15.986,78,14
"df_time_ganna",15.841,79,15
"df_time_ganna",15.88,80,16
"df_time_ganna",15.919,81,17
"df_time_ganna",15.94,82,18
"df_time_ganna",15.912,83,19
"df_time_ganna",15.927999999999999,84,20
"df_time_ganna",15.998,85,21
"df_time_ganna",15.876000000000001,86,22
"df_time_ganna",15.83,87,23
"df_time_ganna",15.874,88,24
"df_time_ganna",15.936,89,25
"df_time_ganna",15.846,90,26
"df_time_ganna",15.832,91,27
"df_time_ganna",15.867,92,28
"df_time_ganna",15.91,93,29
"df_time_ganna",15.958,94,30
"df_time_ganna",15.969000000000001,95,31
"df_time_ganna",15.849,96,32
"df_time_ganna",15.818,97,33
"df_time_ganna",15.860000000000001,98,34
"df_time_ganna",15.827,99,35
"df_time_ganna",15.889000000000001,100,36
"df_time_ganna",15.882000000000001,101,37
"df_time_ganna",15.851,102,38
"df_time_ganna",15.766,103,39
"df_time_ganna",15.88,104,40
"df_time_ganna",15.836,105,41
"df_time_ganna",15.767,106,42
"df_time_ganna",15.783,107,43
"df_time_ganna",15.723999999999998,108,44
"df_time_ganna",15.697,109,45
"df_time_ganna",15.752,110,46
"df_time_ganna",15.808,111,47
"df_time_ganna",15.839,112,48
"df_time_ganna",15.762,113,49
"df_time_ganna",15.897,114,50
"df_time_ganna",15.597999999999999,115,51
"df_time_ganna",15.571,116,52
"df_time_ganna",15.67,117,53
"df_time_ganna",15.633999999999999,118,54
"df_time_ganna",15.61,119,55
"df_time_ganna",15.706999999999999,120,56
"df_time_ganna",15.697999999999999,121,57
"df_time_ganna",15.625,122,58
"df_time_ganna",15.687999999999999,123,59
"df_time_ganna",15.7,124,60
"df_time_ganna",15.697999999999999,125,61
"df_time_ganna",15.753,126,62
"df_time_ganna",15.684,127,63
"df_time_ganna",15.737999999999998,128,64
"df_time_ganna",15.722999999999999,129,65
"df_time_ganna",15.653,130,66
"df_time_ganna",15.652000000000001,131,67
"df_time_ganna",15.600999999999999,132,68
"df_time_ganna",15.619,133,69
"df_time_ganna",15.613999999999999,134,70
"df_time_ganna",15.642,135,71
"df_time_ganna",15.666,136,72
"df_time_ganna",15.636,137,73
"df_time_ganna",15.558,138,74
"df_time_ganna",15.586,139,75
"df_time_ganna",15.668,140,76
"df_time_ganna",15.679,141,77
"df_time_ganna",15.572000000000001,142,78
"df_time_ganna",15.509,143,79
"df_time_ganna",15.452000000000002,144,80
"df_time_ganna",15.426,145,81
"df_time_ganna",15.558,146,82
"df_time_ganna",15.582,147,83
"df_time_ganna",15.56,148,84
"df_time_ganna",15.506,149,85
"df_time_ganna",15.591,150,86
"df_time_ganna",15.429,151,87
"df_time_ganna",15.357000000000001,152,88
"df_time_ganna",15.292,153,89
"df_time_ganna",15.357000000000001,154,90
"df_time_ganna",15.333,155,91
"df_time_ganna",15.289,156,92
"df_time_ganna",15.329,157,93
"df_time_ganna",15.326,158,94
"df_time_ganna",15.429,159,95
"df_time_ganna",15.370000000000001,160,96
"df_time_ganna",15.386000000000001,161,97
"df_time_ganna",15.355000000000002,162,98
"df_time_ganna",15.350000000000001,163,99
"df_time_ganna",15.345,164,100
"df_time_ganna",15.398,165,101
"df_time_ganna",15.257,166,102
"df_time_ganna",15.290999999999999,167,103
"df_time_ganna",15.26,168,104
"df_time_ganna",15.342,169,105
"df_time_ganna",15.270999999999999,170,106
"df_time_ganna",15.364,171,107
"df_time_ganna",15.484,172,108
"df_time_ganna",15.405000000000001,173,109
"df_time_ganna",15.372000000000002,174,110
"df_time_ganna",15.31,175,111
"df_time_ganna",15.44,176,112
"df_time_ganna",15.378,177,113
"df_time_ganna",15.473,178,114
"df_time_ganna",15.403,179,115
"df_time_ganna",15.389000000000001,180,116
"df_time_ganna",15.369000000000002,181,117
"df_time_ganna",15.505,182,118
"df_time_ganna",15.415000000000001,183,119
"df_time_ganna",15.418,184,120
"df_time_ganna",15.419,185,121
"df_time_ganna",15.374,186,122
"df_time_ganna",15.440999999999999,187,123
"df_time_ganna",15.517,188,124
"df_time_ganna",15.47,189,125
"df_time_ganna",15.412,190,126
"df_time_ganna",15.379000000000001,191,127
"df_time_ganna",15.414,192,128
"df_time_ganna",15.455000000000002,193,129
"df_time_ganna",15.493,194,130
"df_time_ganna",15.493,195,131
"df_time_ganna",15.5,196,132
